nhm_id,byHRU,byHW,hw_id,byHWobs,level
1,1,0,,0,1
2,1,1,167,1,3
3,1,1,167,1,3
4,1,1,167,1,3
5,1,1,164,1,3
6,1,1,164,1,3
7,1,1,167,1,3
8,1,0,,0,1
9,1,1,164,1,3
10,1,1,164,1,3
11,1,0,,0,1
12,1,1,165,1,3
13,1,0,,0,1
14,1,1,167,1,3
15,1,1,163,0,2
16,1,1,165,1,3
17,1,1,165,1,3
18,1,1,165,1,3
19,1,1,163,0,2
20,1,1,167,1,3
21,1,0,,0,1
22,1,1,166,1,3
23,1,1,166,1,3
24,1,1,167,1,3
25,1,1,167,1,3
26,1,1,167,1,3
27,1,1,167,1,3
28,1,1,167,1,3
29,1,1,167,1,3
30,1,1,166,1,3
31,1,1,167,1,3
32,1,0,,0,1
33,1,0,,0,1
34,1,0,,0,1
35,1,1,166,1,3
36,1,0,,0,1
37,1,0,,0,1
38,1,1,116,0,2
39,1,0,,0,1
40,1,0,,0,1
41,1,0,,0,1
42,1,1,117,1,3
43,1,1,117,1,3
44,1,1,159,0,2
45,1,1,159,0,2
46,1,0,,0,1
47,1,1,158,1,3
48,1,0,,0,1
49,1,1,158,1,3
50,1,1,158,1,3
51,1,0,,0,1
52,1,0,,0,1
53,1,1,118,1,3
54,1,1,158,1,3
55,1,0,,0,1
56,1,1,162,1,3
57,1,1,157,0,2
58,1,1,157,0,2
59,1,1,162,1,3
60,1,0,,0,1
61,1,1,156,0,2
62,1,1,116,0,2
63,1,0,,0,1
64,1,1,118,1,3
65,1,1,156,0,2
66,1,1,155,1,3
67,1,0,,0,1
68,1,1,5,0,2
69,1,1,155,1,3
70,1,1,158,1,3
71,1,1,155,1,3
72,1,1,155,1,3
73,1,0,,0,1
74,1,1,155,1,3
75,1,1,155,1,3
76,1,0,,0,1
77,1,1,162,1,3
78,1,1,157,0,2
79,1,1,158,1,3
80,1,0,,0,1
81,1,0,,0,1
82,1,1,158,1,3
83,1,1,5,0,2
84,1,1,157,0,2
85,1,0,,0,1
86,1,1,158,1,3
87,1,1,118,1,3
88,1,1,162,1,3
89,1,1,5,0,2
90,1,1,155,1,3
91,1,1,155,1,3
92,1,1,155,1,3
93,1,1,5,0,2
94,1,1,155,1,3
95,1,1,155,1,3
96,1,1,155,1,3
97,1,1,20,0,2
98,1,1,158,1,3
99,1,1,112,1,3
100,1,1,112,1,3
101,1,1,9,0,2
102,1,1,112,1,3
103,1,1,155,1,3
104,1,1,155,1,3
105,1,1,155,1,3
106,1,0,,0,1
107,1,1,112,1,3
108,1,1,162,1,3
